FsRtlDeleteTunnelCache                                000000014050F824 358    
FsRtlDeregisterUncProvider                            0000000140620D10 359    
FsRtlDismountComplete                                 000000014050FAA4 360    
FsRtlDissectDbcs                                      000000014062155C 361    
FsRtlDissectName                                      00000001400D5290 362    
FsRtlDoesDbcsContainWildCards                         0000000140621630 363    
FsRtlDoesNameContainWildCards                         00000001400CD040 364    
FsRtlFastCheckLockForRead                             00000001400ECED8 365    
FsRtlFastCheckLockForWrite                            00000001400F225C 366    
FsRtlFastUnlockAll                                    00000001400EF5B8 367    
FsRtlFastUnlockAllByKey                               00000001401B9250 368    
FsRtlFastUnlockSingle                                 0000000140004E38 369    
FsRtlFindExtraCreateParameter                         0000000140445AC0 370    
FsRtlFindInTunnelCache                                00000001403F34EC 371    
FsRtlFreeExtraCreateParameter                         00000001404A6970 372    
FsRtlFreeExtraCreateParameterList                     00000001404A662C 373    
FsRtlFreeFileLock                                     00000001400F9E44 374    
FsRtlGetEcpListFromIrp                                0000000140445AA0 375    
FsRtlGetFileNameInformation                           000000014043D60C 376    
FsRtlGetFileSize                                      000000014047A2CC 377    
FsRtlGetIoAtEof                                       0000000140002890 378    
FsRtlGetNextBaseMcbEntry                              00000001400D88D0 379    
FsRtlGetNextExtraCreateParameter                      00000001404FB288 380    
FsRtlGetNextFileLock                                  00000001401B92B8 381    
FsRtlGetNextLargeMcbEntry                             00000001401B8AFC 382    
FsRtlGetNextMcbEntry                                  00000001401B8B64 383    
FsRtlGetSectorSizeInformation                         0000000140511D94 384    
FsRtlGetSupportedFeatures                             00000001400FA798 385    
FsRtlGetVirtualDiskNestingLevel                       0000000140100620 386    
FsRtlHeatInit                                         0000000140621F6C 387    
FsRtlHeatLogIo                                        0000000140622090 388    
FsRtlHeatLogTierMove                                  0000000140622164 389    
FsRtlHeatUninit                                       00000001406221B8 390    
FsRtlIncrementCcFastMdlReadWait                       0000000140121C9C 391    
FsRtlIncrementCcFastReadNoWait                        00000001401B8A5C 392    
FsRtlIncrementCcFastReadNotPossible                   00000001404FAEA4 393    
FsRtlIncrementCcFastReadResourceMiss                  00000001401B8A68 394    
FsRtlIncrementCcFastReadWait                          00000001404E07B0 395    
FsRtlInitExtraCreateParameterLookasideList            0000000140562834 396    
FsRtlInitializeBaseMcb                                00000001400B9870 397    
FsRtlInitializeBaseMcbEx                              00000001400B987C 398    
FsRtlInitializeEofLock                                00000001400E2E48 399    
FsRtlInitializeExtraCreateParameter                   000000014050F864 400    
FsRtlInitializeExtraCreateParameterList               000000014050FA2C 401    
FsRtlInitializeFileLock                               00000001400F9624 402    
FsRtlInitializeLargeMcb                               00000001400F8018 403    
FsRtlInitializeMcb                                    0000000140620D00 404    
FsRtlInitializeOplock                                 000000014050D824 405    
FsRtlInitializeTunnelCache                            00000001405134D8 406    
FsRtlInsertExtraCreateParameter                       000000014043F810 407    
FsRtlInsertPerFileContext                             00000001401BA39C 408    
FsRtlInsertPerFileObjectContext                       0000000140029884 409    
FsRtlInsertPerStreamContext                           00000001401BA3A4 410    
FsRtlInsertReservedPerFileContext                     00000001400F5EC8 411    
FsRtlInsertReservedPerStreamContext                   00000001400E7564 412    
FsRtlIsDaxVolume                                      00000001401B8A74 413    
FsRtlIsDbcsInExpression                               00000001406216A0 414    
FsRtlIsEcpAcknowledged                                000000014061FCDC 415    
FsRtlIsEcpFromUserMode                                00000001404E09F4 416    
FsRtlIsExtentDangling                                 0000000140621364 417    
FsRtlIsFatDbcsLegal                                   00000001404E54E4 418    
FsRtlIsHpfsDbcsLegal                                  0000000140621D64 419    
FsRtlIsMobileOS                                       00000001405135F8 420    
FsRtlIsNameInExpression                               00000001400CCB80 421    
FsRtlIsNonEmptyDirectoryReparsePointAllowed           00000001400FAE0C 422    
FsRtlIsNtstatusExpected                               00000001400EFDB0 423    
FsRtlIsPagingFile                                     00000001400DD8A0 424    
FsRtlIsSystemPagingFile                               00000001400FC9EC 425    
FsRtlIsTotalDeviceFailure                             00000001400539E4 426    
FsRtlIssueDeviceIoControl                             0000000140512100 427    
FsRtlKernelFsControlFile                              00000001404E40DC 428    
FsRtlLegalAnsiCharacterArray                          0000000140254020 429    
FsRtlLogCcFlushError                                  000000014062049C 430    
FsRtlLookupBaseMcbEntry                               00000001400D6210 431    
FsRtlLookupLargeMcbEntry                              00000001401B8BC4 432    
FsRtlLookupLastBaseMcbEntry                           00000001400DFC00 433    
FsRtlLookupLastBaseMcbEntryAndIndex                   00000001400F0B34 434    
FsRtlLookupLastLargeMcbEntry                          00000001401B8C64 435    
FsRtlLookupLastLargeMcbEntryAndIndex                  00000001401B8CD4 436    
FsRtlLookupLastMcbEntry                               00000001401B8D54 437    
FsRtlLookupMcbEntry                                   00000001401B8D98 438    
FsRtlLookupPerFileContext                             00000001401BA480 439    
FsRtlLookupPerFileObjectContext                       00000001400D4CD0 440    
FsRtlLookupPerStreamContextInternal                   00000001401BA56C 441    
FsRtlLookupReservedPerFileContext                     00000001400F8720 442    
FsRtlLookupReservedPerStreamContext                   00000001400D5400 443    
FsRtlMdlRead                                          00000001404FFE80 444    
FsRtlMdlReadComplete                                  00000001401B8A98 445    
FsRtlMdlReadCompleteDev                               0000000140055844 446    
FsRtlMdlReadDev                                       00000001406206FC 447    
FsRtlMdlReadEx                                        00000001404FFE14 448    
FsRtlMdlWriteComplete                                 00000001406208D8 449    
FsRtlMdlWriteCompleteDev                              00000001404FEE48 450    
FsRtlMupGetProviderIdFromName                         0000000140620D64 451    
FsRtlMupGetProviderInfoFromFileObject                 0000000140620D7C 452    
FsRtlNormalizeNtstatus                                00000001400FDF94 453    
FsRtlNotifyChangeDirectory                            00000001406225B8 454    
FsRtlNotifyCleanup                                    00000001404D7E18 455    
FsRtlNotifyCleanupAll                                 000000014062260C 456    
FsRtlNotifyFilterChangeDirectory                      00000001404D762C 457    
FsRtlNotifyFilterChangeDirectoryLite                  00000001404D80AC 458    
FsRtlNotifyFilterReportChange                         00000001404D6BA0 459    
FsRtlNotifyFilterReportChangeLite                     00000001404D798C 460    
FsRtlNotifyFullChangeDirectory                        00000001406226C8 461    
FsRtlNotifyFullReportChange                           0000000140622724 462    
FsRtlNotifyInitializeSync                             00000001404D849C 463    
FsRtlNotifyReportChange                               0000000140622774 464    
FsRtlNotifyUninitializeSync                           000000014051325C 465    
FsRtlNotifyVolumeEvent                                000000014050F268 466    
FsRtlNotifyVolumeEventEx                              000000014042B83C 467    
FsRtlNumberOfRunsInBaseMcb                            00000001400DD3D0 468    
FsRtlNumberOfRunsInLargeMcb                           00000001401B8E10 469    
FsRtlNumberOfRunsInMcb                                00000001401B8E40 470    
FsRtlOplockBreakH                                     00000001404F3464 471    
