Name                                                  Address  Ordinal
----                                                  -------  -------
FsRtlGetNextMcbEntry                                  00592558 472    
FsRtlGetSectorSizeInformation                         00764868 473    
FsRtlGetSupportedFeatures                             004EA94E 474    
FsRtlGetVirtualDiskNestingLevel                       005035C0 475    
FsRtlHeatInit                                         0085B4BB 476    
FsRtlHeatLogIo                                        0085B5E7 477    
FsRtlHeatLogTierMove                                  0085B6AB 478    
FsRtlHeatUninit                                       0085B6F0 479    
FsRtlIncrementCcFastMdlReadWait                       0059246A 480    
FsRtlIncrementCcFastReadNoWait                        00592477 481    
FsRtlIncrementCcFastReadNotPossible                   0074CEBA 482    
FsRtlIncrementCcFastReadResourceMiss                  00592484 483    
FsRtlIncrementCcFastReadWait                          00738D9E 484    
FsRtlInitExtraCreateParameterLookasideList            007A5FFE 485    
FsRtlInitializeBaseMcb                                004E9B18 486    
FsRtlInitializeBaseMcbEx                              004B569A 487    
FsRtlInitializeEofLock                                004DA5D8 488    
FsRtlInitializeExtraCreateParameter                   00760C7E 489    
FsRtlInitializeExtraCreateParameterList               00760EE2 490    
FsRtlInitializeFileLock                               004EA420 491    
FsRtlInitializeLargeMcb                               004E921C 492    
FsRtlInitializeMcb                                    0085A60F 493    
FsRtlInitializeOplock                                 0075E960 494    
FsRtlInitializeTunnelCache                            007666FA 495    
FsRtlInsertExtraCreateParameter                       0070E3E0 496    
FsRtlInsertPerFileContext                             0059430E 497    
FsRtlInsertPerFileObjectContext                       0042C1E0 498    
FsRtlInsertPerStreamContext                           00594329 499    
FsRtlInsertReservedPerFileContext                     004E7B3E 500    
FsRtlInsertReservedPerStreamContext                   004DC25A 501    
FsRtlIsDaxVolume                                      00592491 502    
FsRtlIsDbcsInExpression                               0085AE35 503    
FsRtlIsEcpAcknowledged                                00859705 504    
FsRtlIsEcpFromUserMode                                0073ACC8 505    
FsRtlIsExtentDangling                                 0085AB9E 506    
FsRtlIsFatDbcsLegal                                   0073C036 507    
FsRtlIsHpfsDbcsLegal                                  0085B32A 508    
FsRtlIsMobileOS                                       00766A32 509    
FsRtlIsNameInExpression                               004BE460 510    
FsRtlIsNonEmptyDirectoryReparsePointAllowed           004E9EF2 511    
FsRtlIsNtstatusExpected                               004E49C4 512    
FsRtlIsPagingFile                                     004D5530 513    
FsRtlIsSystemPagingFile                               004F0CB6 514    
FsRtlIsTotalDeviceFailure                             0049AE2A 515    
FsRtlIssueDeviceIoControl                             00764BBC 516    
FsRtlKernelFsControlFile                              0073946E 517    
FsRtlLegalAnsiCharacterArray                          00404234 518    
FsRtlLogCcFlushError                                  00859E5F 519    
FsRtlLookupBaseMcbEntry                               004CE9C0 520    
FsRtlLookupLargeMcbEntry                              005925AC 521    
FsRtlLookupLastBaseMcbEntry                           004D96CC 522    
FsRtlLookupLastBaseMcbEntryAndIndex                   004E4FE0 523    
FsRtlLookupLastLargeMcbEntry                          00592616 524    
FsRtlLookupLastLargeMcbEntryAndIndex                  00592671 525    
FsRtlLookupLastMcbEntry                               005926CF 526    
FsRtlLookupMcbEntry                                   00592714 527    
FsRtlLookupPerFileContext                             00594413 528    
FsRtlLookupPerFileObjectContext                       004CABD0 529    
FsRtlLookupPerStreamContextInternal                   00594504 530    
FsRtlLookupReservedPerFileContext                     004E9AFC 531    
FsRtlLookupReservedPerStreamContext                   004CB4F0 532    
FsRtlMdlRead                                          007522B0 533    
FsRtlMdlReadComplete                                  005924BF 534    
FsRtlMdlReadCompleteDev                               004E6840 535    
FsRtlMdlReadDev                                       0085A088 536    
FsRtlMdlReadEx                                        00752276 537    
FsRtlMdlWriteComplete                                 0085A209 538    
FsRtlMdlWriteCompleteDev                              00750886 539    
FsRtlMupGetProviderIdFromName                         0085A66C 540    
FsRtlMupGetProviderInfoFromFileObject                 0085A68C 541    
FsRtlNormalizeNtstatus                                004F1BBA 542    
FsRtlNotifyChangeDirectory                            0085BBE4 543    
FsRtlNotifyCleanup                                    00736E06 544    
FsRtlNotifyCleanupAll                                 0085BC13 545    
FsRtlNotifyFilterChangeDirectory                      00736C2A 546    
FsRtlNotifyFilterChangeDirectoryLite                  0073728A 547    
FsRtlNotifyFilterReportChange                         007369D8 548    
FsRtlNotifyFilterReportChangeLite                     00736E86 549    
